train dataset: size=20260
  inp: shape=(1, 64, 64)
  coord: shape=(4096, 2)
  cell: shape=(4096, 2)
  gt: shape=(4096, 1)
val dataset: size=52
  inp: shape=(1, 864, 1536)
  coord: shape=(2073600, 2)
  cell: shape=(2073600, 2)
  gt: shape=(2073600, 1)
model: #params=34.1K
epoch 1/1000, train: loss=0.0561, val: psnr=33.0386, 47.5s 47.5s/13.2h
epoch 2/1000, train: loss=0.0462, val: psnr=33.2935, 32.5s 1.3m/11.1h
epoch 3/1000, train: loss=0.0456, val: psnr=33.4017, 32.3s 1.9m/10.4h
epoch 4/1000, train: loss=0.0448, val: psnr=33.4488, 32.3s 2.4m/10.0h
epoch 5/1000, train: loss=0.0447, val: psnr=33.4726, 32.5s 3.0m/9.8h
epoch 6/1000, train: loss=0.0446, val: psnr=33.5166, 33.5s 3.5m/9.7h
epoch 7/1000, train: loss=0.0443, val: psnr=33.5671, 32.9s 4.1m/9.7h
epoch 8/1000, train: loss=0.0443, val: psnr=33.5908, 32.7s 4.6m/9.6h
epoch 9/1000, train: loss=0.0441, val: psnr=33.6230, 32.6s 5.1m/9.5h
epoch 10/1000, train: loss=0.0443, val: psnr=33.6469, 35.0s 5.7m/9.5h
epoch 11/1000, train: loss=0.0440, val: psnr=33.6405, 32.8s 6.3m/9.5h
epoch 12/1000, train: loss=0.0440, val: psnr=33.6805, 32.8s 6.8m/9.5h
epoch 13/1000, train: loss=0.0440, val: psnr=33.6519, 34.2s 7.4m/9.5h
epoch 14/1000, train: loss=0.0441, val: psnr=33.6789, 34.1s 8.0m/9.5h
epoch 15/1000, train: loss=0.0438, val: psnr=33.6930, 33.4s 8.5m/9.5h
epoch 16/1000, train: loss=0.0441, val: psnr=33.6609, 32.5s 9.1m/9.4h
epoch 17/1000, train: loss=0.0436, val: psnr=33.7015, 33.3s 9.6m/9.4h
epoch 18/1000, train: loss=0.0439, val: psnr=33.7276, 33.9s 10.2m/9.4h
epoch 19/1000, train: loss=0.0437, val: psnr=33.7093, 33.0s 10.7m/9.4h
epoch 20/1000, train: loss=0.0439, val: psnr=33.7033, 33.6s 11.3m/9.4h
epoch 21/1000, train: loss=0.0433, val: psnr=33.7220, 32.8s 11.8m/9.4h
epoch 22/1000, train: loss=0.0435, val: psnr=33.7322, 34.9s 12.4m/9.4h
epoch 23/1000, train: loss=0.0435, val: psnr=33.7309, 34.4s 13.0m/9.4h
epoch 24/1000, train: loss=0.0438, val: psnr=33.7574, 34.1s 13.6m/9.4h
epoch 25/1000, train: loss=0.0437, val: psnr=33.7105, 32.4s 14.1m/9.4h
epoch 26/1000, train: loss=0.0437, val: psnr=33.7334, 32.3s 14.6m/9.4h
epoch 27/1000, train: loss=0.0436, val: psnr=33.7833, 32.7s 15.2m/9.4h
epoch 28/1000, train: loss=0.0436, val: psnr=33.7788, 32.7s 15.7m/9.4h
epoch 29/1000, train: loss=0.0433, val: psnr=33.7937, 33.9s 16.3m/9.4h
epoch 30/1000, train: loss=0.0433, val: psnr=33.7953, 33.2s 16.8m/9.4h
epoch 31/1000, train: loss=0.0435, val: psnr=33.7573, 33.6s 17.4m/9.4h
epoch 32/1000, train: loss=0.0432, val: psnr=33.7825, 33.1s 18.0m/9.4h
epoch 33/1000, train: loss=0.0436, val: psnr=33.7709, 33.6s 18.5m/9.4h
epoch 34/1000, train: loss=0.0437, val: psnr=33.8140, 32.1s 19.1m/9.3h
epoch 35/1000, train: loss=0.0434, val: psnr=33.7884, 32.6s 19.6m/9.3h
epoch 36/1000, train: loss=0.0433, val: psnr=33.7920, 33.6s 20.2m/9.3h
epoch 37/1000, train: loss=0.0433, val: psnr=33.8016, 32.4s 20.7m/9.3h
epoch 38/1000, train: loss=0.0434, val: psnr=33.7520, 32.2s 21.2m/9.3h
epoch 39/1000, train: loss=0.0432, val: psnr=33.7976, 34.8s 21.8m/9.3h
epoch 40/1000, train: loss=0.0434, val: psnr=33.8091, 33.7s 22.4m/9.3h
epoch 41/1000, train: loss=0.0436, val: psnr=33.8015, 33.6s 22.9m/9.3h
epoch 42/1000, train: loss=0.0432, val: psnr=33.7995, 33.1s 23.5m/9.3h
epoch 43/1000, train: loss=0.0433, val: psnr=33.8391, 33.3s 24.0m/9.3h
epoch 44/1000, train: loss=0.0434, val: psnr=33.8496, 34.1s 24.6m/9.3h
epoch 45/1000, train: loss=0.0434, val: psnr=33.7893, 33.0s 25.2m/9.3h
epoch 46/1000, train: loss=0.0435, val: psnr=33.8047, 34.3s 25.7m/9.3h
epoch 47/1000, train: loss=0.0433, val: psnr=33.8221, 33.4s 26.3m/9.3h
epoch 48/1000, train: loss=0.0435, val: psnr=33.7958, 36.0s 26.9m/9.3h
epoch 49/1000, train: loss=0.0436, val: psnr=33.7917, 35.0s 27.5m/9.3h
epoch 50/1000, train: loss=0.0437, val: psnr=33.8033, 33.9s 28.0m/9.3h
epoch 51/1000, train: loss=0.0435, val: psnr=33.7687, 34.2s 28.6m/9.3h
epoch 52/1000, train: loss=0.0432, val: psnr=33.8184, 35.1s 29.2m/9.4h
epoch 53/1000, train: loss=0.0434, val: psnr=33.8358, 33.3s 29.7m/9.4h
epoch 54/1000, train: loss=0.0434, val: psnr=33.8437, 33.6s 30.3m/9.4h
epoch 55/1000, train: loss=0.0432, val: psnr=33.8329, 34.0s 30.9m/9.4h
epoch 56/1000, train: loss=0.0434, val: psnr=33.8142, 33.6s 31.4m/9.4h
epoch 57/1000, train: loss=0.0433, val: psnr=33.7997, 33.0s 32.0m/9.4h
epoch 58/1000, train: loss=0.0434, val: psnr=33.8345, 32.4s 32.5m/9.3h
epoch 59/1000, train: loss=0.0433, val: psnr=33.8349, 32.2s 33.1m/9.3h
epoch 60/1000, train: loss=0.0433, val: psnr=33.8386, 32.2s 33.6m/9.3h
epoch 61/1000, train: loss=0.0435, val: psnr=33.8726, 33.4s 34.2m/9.3h
epoch 62/1000, train: loss=0.0436, val: psnr=33.8542, 32.1s 34.7m/9.3h
epoch 63/1000, train: loss=0.0433, val: psnr=33.8614, 32.2s 35.2m/9.3h
epoch 64/1000, train: loss=0.0433, val: psnr=33.8126, 32.8s 35.8m/9.3h
epoch 65/1000, train: loss=0.0434, val: psnr=33.8284, 34.3s 36.3m/9.3h
epoch 66/1000, train: loss=0.0431, val: psnr=33.8217, 34.7s 36.9m/9.3h
epoch 67/1000, train: loss=0.0433, val: psnr=33.8564, 33.3s 37.5m/9.3h
epoch 68/1000, train: loss=0.0430, val: psnr=33.8739, 33.3s 38.0m/9.3h
epoch 69/1000, train: loss=0.0437, val: psnr=33.8454, 33.4s 38.6m/9.3h
epoch 70/1000, train: loss=0.0434, val: psnr=33.8641, 35.5s 39.2m/9.3h
epoch 71/1000, train: loss=0.0434, val: psnr=33.8652, 33.9s 39.7m/9.3h
epoch 72/1000, train: loss=0.0431, val: psnr=33.8395, 34.9s 40.3m/9.3h
epoch 73/1000, train: loss=0.0432, val: psnr=33.8588, 33.8s 40.9m/9.3h
epoch 74/1000, train: loss=0.0432, val: psnr=33.8610, 32.9s 41.4m/9.3h
epoch 75/1000, train: loss=0.0429, val: psnr=33.8701, 32.2s 42.0m/9.3h
epoch 76/1000, train: loss=0.0433, val: psnr=33.8529, 34.2s 42.5m/9.3h
epoch 77/1000, train: loss=0.0429, val: psnr=33.8066, 34.2s 43.1m/9.3h
epoch 78/1000, train: loss=0.0431, val: psnr=33.8431, 34.4s 43.7m/9.3h
epoch 79/1000, train: loss=0.0432, val: psnr=33.8734, 34.0s 44.3m/9.3h
epoch 80/1000, train: loss=0.0433, val: psnr=33.8818, 32.6s 44.8m/9.3h
epoch 81/1000, train: loss=0.0434, val: psnr=33.8642, 34.0s 45.4m/9.3h
epoch 82/1000, train: loss=0.0430, val: psnr=33.8472, 36.1s 46.0m/9.3h
epoch 83/1000, train: loss=0.0430, val: psnr=33.8991, 33.9s 46.5m/9.3h
epoch 84/1000, train: loss=0.0432, val: psnr=33.8778, 33.7s 47.1m/9.3h
epoch 85/1000, train: loss=0.0436, val: psnr=33.8809, 34.1s 47.7m/9.3h
epoch 86/1000, train: loss=0.0431, val: psnr=33.8500, 35.4s 48.3m/9.4h
epoch 87/1000, train: loss=0.0430, val: psnr=33.8614, 34.5s 48.8m/9.4h
epoch 88/1000, train: loss=0.0429, val: psnr=33.8988, 35.5s 49.4m/9.4h
epoch 89/1000, train: loss=0.0433, val: psnr=33.8762, 33.4s 50.0m/9.4h
epoch 90/1000, train: loss=0.0430, val: psnr=33.8984, 33.4s 50.5m/9.4h
epoch 91/1000, train: loss=0.0431, val: psnr=33.8925, 35.1s 51.1m/9.4h
epoch 92/1000, train: loss=0.0433, val: psnr=33.9078, 33.1s 51.7m/9.4h
epoch 93/1000, train: loss=0.0430, val: psnr=33.8898, 35.5s 52.3m/9.4h
epoch 94/1000, train: loss=0.0428, val: psnr=33.8848, 34.5s 52.8m/9.4h
epoch 95/1000, train: loss=0.0434, val: psnr=33.8401, 35.4s 53.4m/9.4h
