train dataset: size=20260
  inp: shape=(1, 64, 64)
  coord: shape=(4096, 2)
  cell: shape=(4096, 2)
  gt: shape=(4096, 1)
val dataset: size=52
  inp: shape=(1, 864, 1536)
  coord: shape=(2073600, 2)
  cell: shape=(2073600, 2)
  gt: shape=(2073600, 1)
model: #params=34.1K
epoch 1/1000, train: loss=0.0659, val: psnr=30.4425, 47.1s 47.1s/13.1h
epoch 2/1000, train: loss=0.0556, val: psnr=30.4562, 33.7s 1.3m/11.2h
epoch 3/1000, train: loss=0.0548, val: psnr=30.5646, 34.2s 1.9m/10.6h
epoch 4/1000, train: loss=0.0548, val: psnr=30.5735, 33.3s 2.5m/10.3h
epoch 5/1000, train: loss=0.0541, val: psnr=30.6092, 32.9s 3.0m/10.1h
epoch 6/1000, train: loss=0.0545, val: psnr=30.6415, 32.5s 3.6m/9.9h
epoch 7/1000, train: loss=0.0543, val: psnr=30.6555, 32.4s 4.1m/9.8h
epoch 8/1000, train: loss=0.0540, val: psnr=30.6490, 33.1s 4.7m/9.7h
epoch 9/1000, train: loss=0.0539, val: psnr=30.6857, 32.1s 5.2m/9.6h
epoch 10/1000, train: loss=0.0539, val: psnr=30.6764, 32.0s 5.7m/9.5h
epoch 11/1000, train: loss=0.0540, val: psnr=30.6945, 31.9s 6.3m/9.5h
epoch 12/1000, train: loss=0.0536, val: psnr=30.7053, 31.8s 6.8m/9.4h
epoch 13/1000, train: loss=0.0538, val: psnr=30.7221, 31.9s 7.3m/9.4h
epoch 14/1000, train: loss=0.0536, val: psnr=30.7284, 32.1s 7.9m/9.3h
epoch 15/1000, train: loss=0.0535, val: psnr=30.7429, 32.0s 8.4m/9.3h
epoch 16/1000, train: loss=0.0536, val: psnr=30.7545, 31.6s 8.9m/9.3h
epoch 17/1000, train: loss=0.0533, val: psnr=30.7428, 31.9s 9.4m/9.3h
epoch 18/1000, train: loss=0.0535, val: psnr=30.7519, 31.8s 10.0m/9.2h
epoch 19/1000, train: loss=0.0534, val: psnr=30.7523, 31.8s 10.5m/9.2h
epoch 20/1000, train: loss=0.0533, val: psnr=30.7745, 31.9s 11.0m/9.2h
epoch 21/1000, train: loss=0.0532, val: psnr=30.7790, 31.8s 11.6m/9.2h
epoch 22/1000, train: loss=0.0531, val: psnr=30.7851, 32.0s 12.1m/9.2h
epoch 23/1000, train: loss=0.0532, val: psnr=30.7860, 32.1s 12.6m/9.2h
epoch 24/1000, train: loss=0.0532, val: psnr=30.7649, 32.1s 13.2m/9.1h
