train dataset: size=20260
  inp: shape=(1, 64, 64)
  coord: shape=(4096, 2)
  cell: shape=(4096, 2)
  gt: shape=(4096, 1)
val dataset: size=52
  inp: shape=(1, 864, 1536)
  coord: shape=(2073600, 2)
  cell: shape=(2073600, 2)
  gt: shape=(2073600, 1)
model: #params=34.1K
epoch 1/1000, train: loss=0.0764, val: psnr=27.3525, 1.0m 1.0m/16.9h
epoch 2/1000, train: loss=0.0698, val: psnr=27.3940, 35.3s 1.6m/13.4h
epoch 3/1000, train: loss=0.0689, val: psnr=27.4126, 33.3s 2.2m/12.0h
epoch 4/1000, train: loss=0.0690, val: psnr=27.3919, 33.7s 2.7m/11.3h
epoch 5/1000, train: loss=0.0686, val: psnr=27.4247, 33.9s 3.3m/10.9h
epoch 6/1000, train: loss=0.0686, val: psnr=27.4412, 34.1s 3.9m/10.7h
epoch 7/1000, train: loss=0.0687, val: psnr=27.4011, 34.0s 4.4m/10.5h
epoch 8/1000, train: loss=0.0683, val: psnr=27.4443, 33.6s 5.0m/10.4h
epoch 9/1000, train: loss=0.0685, val: psnr=27.4421, 32.8s 5.5m/10.2h
epoch 10/1000, train: loss=0.0684, val: psnr=27.4554, 32.9s 6.1m/10.1h
epoch 11/1000, train: loss=0.0689, val: psnr=27.4520, 33.4s 6.6m/10.0h
epoch 12/1000, train: loss=0.0687, val: psnr=27.4385, 34.7s 7.2m/10.0h
epoch 13/1000, train: loss=0.0685, val: psnr=27.4416, 33.6s 7.8m/10.0h
epoch 14/1000, train: loss=0.0681, val: psnr=27.4381, 32.8s 8.3m/9.9h
epoch 15/1000, train: loss=0.0683, val: psnr=27.4673, 33.0s 8.9m/9.9h
epoch 16/1000, train: loss=0.0689, val: psnr=27.4629, 32.7s 9.4m/9.8h
epoch 17/1000, train: loss=0.0687, val: psnr=27.4686, 32.4s 10.0m/9.8h
epoch 18/1000, train: loss=0.0681, val: psnr=27.4709, 32.6s 10.5m/9.7h
epoch 19/1000, train: loss=0.0686, val: psnr=27.4483, 32.1s 11.0m/9.7h
epoch 20/1000, train: loss=0.0682, val: psnr=27.4615, 33.0s 11.6m/9.7h
epoch 21/1000, train: loss=0.0686, val: psnr=27.4744, 32.4s 12.1m/9.6h
epoch 22/1000, train: loss=0.0681, val: psnr=27.4790, 32.0s 12.7m/9.6h
epoch 23/1000, train: loss=0.0683, val: psnr=27.4792, 32.3s 13.2m/9.6h
epoch 24/1000, train: loss=0.0683, val: psnr=27.4792, 32.1s 13.7m/9.5h
epoch 25/1000, train: loss=0.0681, val: psnr=27.4625, 32.2s 14.3m/9.5h
epoch 26/1000, train: loss=0.0679, val: psnr=27.4754, 32.6s 14.8m/9.5h
epoch 27/1000, train: loss=0.0683, val: psnr=27.4697, 33.3s 15.4m/9.5h
epoch 28/1000, train: loss=0.0685, val: psnr=27.4822, 34.1s 15.9m/9.5h
epoch 29/1000, train: loss=0.0680, val: psnr=27.4843, 33.7s 16.5m/9.5h
epoch 30/1000, train: loss=0.0680, val: psnr=27.4752, 33.8s 17.1m/9.5h
epoch 31/1000, train: loss=0.0681, val: psnr=27.4630, 34.0s 17.6m/9.5h
epoch 32/1000, train: loss=0.0681, val: psnr=27.4804, 35.2s 18.2m/9.5h
epoch 33/1000, train: loss=0.0681, val: psnr=27.4838, 33.9s 18.8m/9.5h
epoch 34/1000, train: loss=0.0683, val: psnr=27.4911, 34.2s 19.3m/9.5h
epoch 35/1000, train: loss=0.0678, val: psnr=27.4912, 34.3s 19.9m/9.5h
epoch 36/1000, train: loss=0.0682, val: psnr=27.4830, 34.1s 20.5m/9.5h
epoch 37/1000, train: loss=0.0679, val: psnr=27.4926, 34.3s 21.1m/9.5h
epoch 38/1000, train: loss=0.0682, val: psnr=27.4848, 34.2s 21.6m/9.5h
epoch 39/1000, train: loss=0.0679, val: psnr=27.4906, 34.1s 22.2m/9.5h
epoch 40/1000, train: loss=0.0682, val: psnr=27.4759, 34.0s 22.8m/9.5h
epoch 41/1000, train: loss=0.0683, val: psnr=27.4845, 34.3s 23.3m/9.5h
epoch 42/1000, train: loss=0.0682, val: psnr=27.4857, 34.4s 23.9m/9.5h
epoch 43/1000, train: loss=0.0681, val: psnr=27.5007, 34.2s 24.5m/9.5h
epoch 44/1000, train: loss=0.0678, val: psnr=27.4888, 34.1s 25.0m/9.5h
epoch 45/1000, train: loss=0.0680, val: psnr=27.4968, 34.1s 25.6m/9.5h
epoch 46/1000, train: loss=0.0678, val: psnr=27.4944, 34.0s 26.2m/9.5h
epoch 47/1000, train: loss=0.0679, val: psnr=27.4919, 33.9s 26.7m/9.5h
epoch 48/1000, train: loss=0.0673, val: psnr=27.4976, 34.1s 27.3m/9.5h
epoch 49/1000, train: loss=0.0683, val: psnr=27.4713, 33.8s 27.9m/9.5h
epoch 50/1000, train: loss=0.0677, val: psnr=27.4884, 33.8s 28.4m/9.5h
epoch 51/1000, train: loss=0.0676, val: psnr=27.4974, 33.7s 29.0m/9.5h
epoch 52/1000, train: loss=0.0678, val: psnr=27.5030, 33.8s 29.6m/9.5h
epoch 53/1000, train: loss=0.0677, val: psnr=27.5008, 34.2s 30.1m/9.5h
epoch 54/1000, train: loss=0.0681, val: psnr=27.4952, 34.1s 30.7m/9.5h
epoch 55/1000, train: loss=0.0678, val: psnr=27.4967, 34.0s 31.3m/9.5h
epoch 56/1000, train: loss=0.0677, val: psnr=27.5063, 34.1s 31.8m/9.5h
epoch 57/1000, train: loss=0.0676, val: psnr=27.5036, 33.9s 32.4m/9.5h
epoch 58/1000, train: loss=0.0677, val: psnr=27.4984, 34.3s 33.0m/9.5h
epoch 59/1000, train: loss=0.0683, val: psnr=27.4973, 34.1s 33.5m/9.5h
epoch 60/1000, train: loss=0.0677, val: psnr=27.4998, 33.9s 34.1m/9.5h
epoch 61/1000, train: loss=0.0680, val: psnr=27.4935, 34.2s 34.7m/9.5h
epoch 62/1000, train: loss=0.0678, val: psnr=27.5046, 34.1s 35.2m/9.5h
epoch 63/1000, train: loss=0.0675, val: psnr=27.5033, 34.2s 35.8m/9.5h
epoch 64/1000, train: loss=0.0680, val: psnr=27.4999, 34.0s 36.4m/9.5h
epoch 65/1000, train: loss=0.0679, val: psnr=27.4943, 34.1s 37.0m/9.5h
epoch 66/1000, train: loss=0.0676, val: psnr=27.4956, 34.3s 37.5m/9.5h
epoch 67/1000, train: loss=0.0679, val: psnr=27.5008, 34.2s 38.1m/9.5h
epoch 68/1000, train: loss=0.0682, val: psnr=27.4934, 34.0s 38.7m/9.5h
epoch 69/1000, train: loss=0.0683, val: psnr=27.5081, 33.9s 39.2m/9.5h
epoch 70/1000, train: loss=0.0682, val: psnr=27.5062, 34.0s 39.8m/9.5h
epoch 71/1000, train: loss=0.0679, val: psnr=27.5024, 33.8s 40.4m/9.5h
epoch 72/1000, train: loss=0.0683, val: psnr=27.5107, 33.9s 40.9m/9.5h
epoch 73/1000, train: loss=0.0680, val: psnr=27.4982, 33.9s 41.5m/9.5h
epoch 74/1000, train: loss=0.0676, val: psnr=27.5002, 33.8s 42.0m/9.5h
epoch 75/1000, train: loss=0.0681, val: psnr=27.5050, 33.9s 42.6m/9.5h
epoch 76/1000, train: loss=0.0674, val: psnr=27.4994, 34.0s 43.2m/9.5h
epoch 77/1000, train: loss=0.0678, val: psnr=27.4968, 34.0s 43.7m/9.5h
epoch 78/1000, train: loss=0.0672, val: psnr=27.5058, 34.1s 44.3m/9.5h
epoch 79/1000, train: loss=0.0679, val: psnr=27.5063, 34.1s 44.9m/9.5h
epoch 80/1000, train: loss=0.0679, val: psnr=27.5064, 33.9s 45.5m/9.5h
epoch 81/1000, train: loss=0.0681, val: psnr=27.5074, 34.0s 46.0m/9.5h
epoch 82/1000, train: loss=0.0681, val: psnr=27.5013, 34.2s 46.6m/9.5h
epoch 83/1000, train: loss=0.0681, val: psnr=27.5041, 34.2s 47.2m/9.5h
epoch 84/1000, train: loss=0.0677, val: psnr=27.5075, 34.5s 47.7m/9.5h
epoch 85/1000, train: loss=0.0676, val: psnr=27.5078, 34.0s 48.3m/9.5h
epoch 86/1000, train: loss=0.0681, val: psnr=27.5083, 33.9s 48.9m/9.5h
epoch 87/1000, train: loss=0.0679, val: psnr=27.5079, 33.9s 49.4m/9.5h
epoch 88/1000, train: loss=0.0678, val: psnr=27.5130, 34.0s 50.0m/9.5h
epoch 89/1000, train: loss=0.0676, val: psnr=27.5062, 34.0s 50.6m/9.5h
epoch 90/1000, train: loss=0.0679, val: psnr=27.4971, 34.2s 51.1m/9.5h
epoch 91/1000, train: loss=0.0682, val: psnr=27.5053, 34.1s 51.7m/9.5h
epoch 92/1000, train: loss=0.0673, val: psnr=27.4981, 34.1s 52.3m/9.5h
epoch 93/1000, train: loss=0.0680, val: psnr=27.5089, 33.8s 52.8m/9.5h
epoch 94/1000, train: loss=0.0677, val: psnr=27.5118, 33.8s 53.4m/9.5h
epoch 95/1000, train: loss=0.0676, val: psnr=27.5106, 33.9s 54.0m/9.5h
epoch 96/1000, train: loss=0.0675, val: psnr=27.5001, 34.0s 54.5m/9.5h
epoch 97/1000, train: loss=0.0678, val: psnr=27.5105, 34.1s 55.1m/9.5h
epoch 98/1000, train: loss=0.0681, val: psnr=27.5042, 34.0s 55.7m/9.5h
epoch 99/1000, train: loss=0.0677, val: psnr=27.5021, 34.2s 56.2m/9.5h
epoch 100/1000, train: loss=0.0676, val: psnr=27.5023, 34.3s 56.8m/9.5h
